Pond,rich,shan,Area,Canopy,Fish,hydroperiod,year,HabTotal,rich.peak,div.peak
246B,6,1.414235914,54,83.5,N,3,y12,2,1,1
246B,8,1.624459714,54,83.5,N,3,y13,2,1,0
246C,8,1.380265767,26,92.5625,N,3,y13,1,0,0
247,10,1.381291854,432,64.5625,N,4,y13,1,0,1
247,12,1.767091574,432,64.5625,N,4,y12,1,0,0
251,9,1.607759093,870,81.5,N,4,y13,0,0,0
251,7,1.422707259,870,81.5,N,4,y12,0,1,1
254,4,0.635698696,8400,38.1875,Y,4,y12,1,0,0
254,4,0.71684153,8400,38.1875,Y,4,y13,1,0,0
254A,9,1.71745272,468,37.1875,N,1,y13,5,0,0
255,7,1.323366863,1088,27,Y,4,y12,5,1,1
255,8,1.408378805,1088,27,Y,4,y13,5,1,1
26,6,1.500291436,13167,14.5,Y,4,y12,5,0,0
26,11,1.925016071,13167,14.5,Y,4,y13,5,0,0
261,3,1.004242473,1161,23.875,Y,4,y13,5,0,0
261,2,0.450561209,1161,23.875,Y,4,y12,5,0,0
263,5,0.471618541,25740,3.75,Y,4,y12,4,0,0
263,3,1.054920168,25740,3.75,Y,4,y13,4,0,0
264,9,1.629871315,289,76,N,4,y12,4,0,0
264,9,1.621116534,289,76,N,4,y13,4,0,0
26A,2,0.410116318,210,0.25,N,1,y12,1,0,0
26A,5,0.89940828,210,0.25,N,1,y13,1,1,0
274,6,1.183752533,300,84.9375,N,3,y13,4,1,1
274,8,1.482799932,300,84.9375,N,3,y12,4,1,1
278,1,0,160,84.9375,N,1,y13,2,0,0
278,0,0,160,84.9375,N,1,y12,2,0,0
278A,3,0.679415892,2.25,85,N,1,y13,10,0,0
287,2,0.500402424,966,4.375,Y,4,y12,5,0,0
287,1,0,966,4.375,Y,4,y13,5,0,0
288,8,1.01716458,60,79.5625,N,4,y13,6,1,1
288,7,1.12279885,60,79.5625,N,4,y12,6,1,1
289,6,0.53312931,126,22.625,N,4,y13,1,1,0
289,8,0.66183567,126,22.625,N,4,y12,1,1,0
290,10,1.877028682,510,26.1875,N,4,y12,3,0,0
290,9,1.558783859,510,26.1875,N,4,y13,3,0,0
291,8,1.054652162,63,82.0625,N,4,y12,0,1,1
291,7,1.479154135,63,82.0625,N,4,y13,0,1,1
292,5,0.944210009,36,88.6875,N,2,y12,1,1,0
292,4,0.635120104,36,88.6875,N,2,y13,1,0,0
294,3,0.832078679,4,96,N,2,y13,1,0,0
294,0,0,4,96,N,2,y12,1,0,0
294A,4,0.942772224,4,96,N,3,y13,0,0,0
294A,1,0,4,96,N,3,y12,0,0,0
295,1,0,1,78.375,N,1,y13,0,0,0
296,4,1.328350516,15,94.6875,N,2,y13,2,0,0
297,7,1.497787389,24,92.375,N,2,y13,2,0,0
297,8,1.642607095,24,92.375,N,2,y12,2,0,0
30,7,1.051149061,147,22.1875,Y,4,y13,5,1,1
30,3,0.950270539,147,22.1875,Y,4,y12,5,0,0
302,4,0.65128745,80,0.3125,N,2,y13,2,0,0
302,4,1.138715314,80,0.3125,N,2,y12,2,0,1
303,10,1.544332408,1275,3.0625,N,4,y13,2,0,0
303,8,1.771641556,1275,3.0625,N,4,y12,2,1,0
305,9,1.418497542,256,53.3125,N,4,y13,3,0,1
305,10,1.754154022,256,53.3125,N,4,y12,3,0,0
308,5,0.395905767,1190,0,N,2,y13,1,1,0
308,5,1.033482758,1190,0,N,2,y12,1,1,1
309,2,0.693147181,12,0,N,2,y13,1,0,0
309,1,0,12,0,N,2,y12,1,0,0
31,2,0.206192051,455,32.75,N,4,y13,4,0,0
31,5,0.732558817,455,32.75,N,4,y12,4,1,0
310,4,1.045341421,96,8.3125,N,4,y13,2,0,1
310,6,1.044473794,96,8.3125,N,4,y12,2,1,1
311,3,0.193404714,102,0,N,3,y13,1,0,0
311,3,0.701682788,102,0,N,3,y12,1,0,0
312,0,0,36,0,N,2,y12,1,0,0
312,1,0,36,0,N,2,y13,1,0,0
313,3,0.73562194,15,0,N,2,y13,1,0,0
313,0,0,15,0,N,2,y12,1,0,0
314,3,0.452153559,32,0,N,2,y12,1,0,0
314,4,0.445260826,32,0,N,2,y13,1,0,0
315,3,0.971087378,36,0,N,4,y12,2,0,0
315,4,0.998265027,36,0,N,4,y13,2,0,0
318,4,0.312736941,18,43.8125,N,1,y13,2,0,0
318,3,1.098612289,18,43.8125,N,1,y12,2,0,0
32,5,0.687335317,308,25.8125,N,3,y13,3,1,0
32,4,1.251228243,308,25.8125,N,3,y12,3,0,1
321,7,1.350245851,24,10.9375,N,3,y13,2,0,0
321,5,1.321894152,24,10.9375,N,3,y12,2,0,0
321A,1,0,16,13.5625,N,2,y13,2,0,0
321A,3,1.004242473,16,13.5625,N,2,y12,2,0,0
322A,7,1.510216297,9,24.875,N,2,y13,4,0,0
322A,4,0.879982225,9,24.875,N,2,y12,4,0,0
322B,9,0.537660336,15,7.1875,N,2,y13,3,0,0
322B,4,0.87244125,15,7.1875,N,2,y12,3,0,0
322C,8,1.139853807,12,26.9375,N,2,y13,4,0,0
322C,3,0.936888308,12,26.9375,N,2,y12,4,0,0
322D,6,0.681108036,1,24.25,N,1,y13,0,0,0
322D,1,0,1,24.25,N,1,y12,0,0,0
323,5,1.062571926,81,4.6875,N,4,y13,3,1,1
323,8,1.75467865,81,4.6875,N,4,y12,3,1,0
324,5,1.080573848,22.5,17.6875,N,2,y13,2,0,0
324,1,0,22.5,17.6875,N,2,y12,2,0,0
325,4,0.47635685,36,9.4375,N,1,y13,1,0,0
325,3,0.496190872,36,9.4375,N,1,y12,1,0,0
326A,4,0.841609135,4,38.875,N,2,y13,1,0,0
326A,2,0.450561209,4,38.875,N,2,y12,1,0,0
326B,0,0,2,35.875,N,1,y12,0,0,0
326B,3,0.680061017,2,35.875,N,1,y13,0,0,0
327,2,0.636514168,63,25.3125,N,1,y12,2,0,0
327,0,0,63,25.3125,N,1,y13,2,0,0
328,6,0.788322684,9,70.875,N,3,y12,2,0,0
328,4,1.075139324,9,70.875,N,3,y13,2,0,0
328A,2,0.693147181,3,22.5,N,1,y12,2,0,0
328A,3,0.397012799,3,22.5,N,1,y13,2,0,0
328B,2,0.562335145,5,27.1875,N,1,y13,2,0,0
328B,0,0,5,27.1875,N,1,y12,2,0,0
329,4,1.065157577,600,0,N,3,y12,2,0,1
329,2,0.350225885,600,0,N,3,y13,2,0,0
330,0,0,56,5.1875,N,2,y12,0,0,0
330,2,0.636514168,56,5.1875,N,2,y13,0,0,0
331,4,0.873262144,209,0,N,3,y12,1,0,0
331,2,0.686445166,209,0,N,3,y13,1,0,0
332,3,0.575315293,175,0,N,2,y12,1,0,0
332,4,0.751102097,175,0,N,2,y13,1,0,0
333,1,0,152,0.1875,N,2,y12,1,0,0
333,4,0.831510104,152,0.1875,N,2,y13,1,0,0
334,2,0.167944148,162,0,N,2,y12,1,0,0
334,5,1.152356976,162,0,N,2,y13,1,1,1
335,0,0,56,0,N,2,y12,1,0,0
335,0,0,56,0,N,2,y13,1,0,0
336,0,0,28,0,N,2,y12,1,0,0
336,3,0.570168843,28,0,N,2,y13,1,0,0
337,5,1.145263828,45,0,N,2,y13,1,1,0
337,3,0.462133674,45,0,N,2,y12,1,0,0
339,8,1.098236052,204,17.25,N,3,y13,1,1,1
339,6,1.10869093,204,17.25,N,3,y12,1,1,1
339A,3,0.895660015,9,49.8125,N,2,y12,0,0,0
339A,3,1.023545401,9,49.8125,N,2,y13,0,0,0
34,3,0.936888308,2940,43.625,Y,4,y13,4,0,0
34,5,1.105387317,2940,43.625,Y,4,y12,4,1,1
351,2,0.292508468,24,26.5,N,2,y12,2,0,0
351,5,1.072407963,24,26.5,N,2,y13,2,0,0
354,2,0.135793959,36,7.875,N,2,y12,0,0,0
354,7,1.745978597,36,7.875,N,2,y13,0,1,0
355,8,1.711117196,315,44.6875,N,4,y13,2,1,0
355,10,1.617186124,315,44.6875,N,4,y12,2,0,0
356,6,0.969807004,21,91.5625,N,1,y13,1,0,0
356,3,0.388774194,21,91.5625,N,1,y12,1,0,0
36,8,1.248854776,3696,29.375,N,3,y13,5,1,1
36,7,1.290492743,3696,29.375,N,3,y12,5,1,1
379,6,1.49415376,45,21.625,N,2,y13,2,1,0
379,5,0.990046009,45,21.625,N,2,y12,2,1,0
380,3,1.098612289,92,73.3125,N,4,y13,1,0,1
380,2,0.474139313,92,73.3125,N,4,y12,1,0,0
380A,0,0,32,87.375,N,2,y13,0,0,0
380A,2,0.693147181,32,87.375,N,2,y12,0,0,0
381,1,0,66,87.25,N,4,y13,0,0,0
381,2,0.636514168,66,87.25,N,4,y12,0,0,0
382,4,0.981207967,68,81.375,N,2,y12,0,0,0
382,3,0.732377763,68,81.375,N,2,y13,0,0,0
383,2,0.693147181,148,0,N,3,y12,0,0,0
383,5,1.316647407,148,0,N,3,y13,0,1,1
385,3,0.839269556,16,14.3125,N,2,y12,4,0,0
385,7,1.206688174,16,14.3125,N,2,y13,4,0,0
386,7,1.451950943,75,21.5625,N,2,y13,2,1,1
386,0,0,75,21.5625,N,2,y12,2,0,0
387,6,0.904160202,21,80.5625,N,4,y13,1,0,0
387,7,1.367510397,21,80.5625,N,4,y12,1,0,0
388A,0,0,1.5,23,N,1,y13,2,0,0
388A,0,0,1.5,23,N,1,y12,2,0,0
388B,3,0.470235962,1,10.75,N,1,y13,2,0,0
388B,0,0,1,10.75,N,1,y12,2,0,0
388C,0,0,1,10.75,N,1,y13,0,0,0
388C,0,0,1,10.75,N,1,y12,0,0,0
388D,0,0,1,8.75,N,1,y13,1,0,0
388D,0,0,1,8.75,N,1,y12,1,0,0
388E,2,0.693147181,1,39,N,1,y13,2,0,0
388E,2,0.500402424,1,39,N,1,y12,2,0,0
388F,0,0,1,1.25,N,1,y13,1,0,0
388F,0,0,1,1.25,N,1,y12,1,0,0
388G,2,0.689009238,1,9.5,N,1,y13,2,0,0
388G,0,0,1,9.5,N,1,y12,2,0,0
388H,0,0,2,53,N,1,y13,0,0,0
389,2,0.500402424,24,24.1875,N,1,y13,3,0,0
389A,0,0,15,46.375,N,1,y12,3,0,0
389A,3,1.028183859,15,46.375,N,1,y13,3,0,0
389B,0,0,2,18.625,N,1,y12,2,0,0
389B,0,0,2,18.625,N,1,y13,2,0,0
389C,0,0,1,16.25,N,1,y13,1,0,0
390,6,1.316564388,9,61.3125,N,2,y13,0,0,0
391,4,1.098843938,8,79.875,N,2,y13,0,0,0
392,1,0,245,0.875,N,2,y13,3,0,0
393,5,0.922267911,15,94.1875,N,2,y13,2,0,0
4,3,1.054920168,26481,33.625,Y,4,y13,4,0,0
4,0,0,26481,33.625,Y,4,y12,4,0,0
400,6,0.741707607,1782,0,N,4,y12,1,1,0
400,8,0.792587467,1782,0,N,4,y13,1,1,0
400A,4,0.323038831,630,1.875,N,3,y13,4,0,0
401,0,0,21,18.1875,N,1,y13,1,0,0
401,2,0.500402424,21,18.1875,N,1,y12,1,0,0
402,11,1.79170572,182,20.75,N,4,y13,1,0,0
402,10,1.667879205,182,20.75,N,4,y12,1,0,0
403,8,1.397163262,272,6.75,N,4,y12,0,1,1
403,6,1.218140116,272,6.75,N,4,y13,0,1,1
404,3,0.564322671,40,0.125,N,3,y13,2,0,0
404,5,0.974038557,40,0.125,N,3,y12,2,1,0
407,5,1.400614309,63,85.875,N,3,y13,1,1,1
407,9,1.669196176,63,85.875,N,3,y12,1,0,0
408,9,0.92278836,104,8.6875,N,3,y12,4,0,0
408,8,1.312733579,104,8.6875,N,3,y13,4,1,1
409,8,1.760967901,289,35.3125,N,4,y13,3,1,0
409,9,1.263883372,289,35.3125,N,4,y12,3,0,1
410,7,1.28863883,180,0,N,3,y12,2,1,1
410,5,0.997578684,180,0,N,3,y13,2,1,0
411,4,0.828003699,14,37.5625,N,1,y12,1,0,0
411,3,0.465744077,14,37.5625,N,1,y13,1,0,0
412,3,0.208928748,12,70.375,N,1,y13,2,0,0
412,5,0.86489068,12,70.375,N,1,y12,2,0,0
413,6,1.376546027,54,3.5,N,2,y13,2,1,1
414,4,0.754377344,112,0,N,2,y13,1,0,0
416,4,1.079436957,6,40.5,N,1,y13,1,0,0
417,3,0.664180614,34,88.9375,N,1,y13,1,0,0
417A,4,0.920674933,6,55.6875,N,1,y13,1,0,0
418,5,1.209150516,4,73.75,N,2,y13,1,0,0
419,7,1.307747959,66,48.8125,N,3,y13,2,1,1
420,9,1.512076099,56,67.1875,N,4,y13,2,0,0
421,3,0.980989682,16,75,N,1,y13,0,0,0
422,2,0.605797499,9,51.625,N,1,y13,0,0,0
423,5,0.910612457,117,21.5625,N,2,y13,0,1,0
57,4,0.961127705,306,76,N,4,y13,1,0,0
57,5,0.924107085,306,76,N,4,y12,1,1,0
58,7,1.121339901,511,48.4375,N,3,y13,4,1,1
58,3,1.05280046,511,48.4375,N,3,y12,4,0,1
61,3,0.773219608,240,79.125,Y,3,y13,1,0,0
61,6,1.214432843,240,79.125,Y,3,y12,1,1,1
63,5,1.494175138,4545,34.75,Y,4,y13,4,1,0
63,4,1.196621408,4545,34.75,Y,4,y12,4,0,1
64,4,1.180304557,2009,55.3125,Y,4,y13,6,0,1
64,2,0.348832096,2009,55.3125,Y,4,y12,6,0,0
64A,6,1.062126873,104,79.1875,N,3,y13,2,1,1
64A,4,1.066034774,104,79.1875,N,3,y12,2,0,1
66,10,1.58252199,1817,11,N,4,y13,2,0,0
66,10,1.598430293,1817,11,N,4,y12,2,0,0
68,5,1.336007382,15000,33.5,Y,4,y12,5,0,1
68,4,1.116367075,15000,33.5,Y,4,y13,5,0,1
7,6,0.066384312,5076,17.25,Y,3,y12,1,1,0
7,7,0.892759416,5076,17.25,Y,3,y13,1,1,0
71,8,1.252411266,320,57.625,N,4,y12,4,1,1
71,9,1.093634287,320,57.625,N,4,y13,4,0,1
72,2,0.636514168,240,74,Y,4,y12,3,0,0
72,9,1.203914318,240,74,Y,4,y13,3,0,1
73,8,1.861719418,756,64.125,N,4,y12,3,1,0
73,9,1.37358619,756,64.125,N,4,y13,3,0,1
8,9,1.540641712,1950,52.25,N,4,y12,2,0,0
8,11,1.670578748,1950,52.25,N,4,y13,2,0,0
82,10,1.1091368,650,62.3125,N,4,y13,3,0,1
82,9,1.840182814,650,62.3125,N,4,y12,3,0,0
83,9,1.351209733,850,42.8125,N,4,y13,3,0,1
83,8,1.837176568,850,42.8125,N,4,y12,3,1,0
83A,0,0,49,64.5,N,2,y12,1,0,0
83A,3,0.6692525,49,64.5,N,2,y13,1,0,0
84,6,0.773608331,1400,39.9375,Y,4,y12,3,1,0
84,8,0.95473261,1400,39.9375,Y,4,y13,3,1,0
87,7,1.474853855,650,48.9375,N,4,y12,4,1,1
87,9,1.654363697,650,48.9375,N,4,y13,4,0,0
9,6,1.58109375,5400,31.75,Y,4,y13,3,1,0
9,4,0.801260117,5400,31.75,Y,4,y12,3,0,0
T74,1,0,16,25,N,2,y13,0,0,0
